year,value
2000,517
2001,522
2002,533
2003,539
2004,546
2005,547
2006,546
2007,541
2008,545
2009,515
2010,550
2011,543
2012,542
2013,550
2014,538
2015,545
2016,531
2017,528
2018,548
2019,536
2020,500
2021,522
2022,446
2023,495
2024,539
