year,ref,min,max
2025,442,442,442
2026,455,453,457
2027,468,464,472
2028,481,475,487
2029,494,486,502
2030,508,498,518
2031,514,502,526
2032,520,506,534
2033,526,510,542
2034,532,514,550
2035,538,518,558
2036,544,522,566
2037,550,526,574
2038,556,530,582
2039,562,534,590
2040,568,538,598
2041,574,542,606
2042,580,546,614
2043,586,550,622
2044,592,554,630
2045,598,558,638
2046,604,562,646
2047,610,566,654
2048,616,570,662
2049,622,574,670
2050,628,578,678
